CountryTerritoryArea,BCIs per million population,Absolute BCIs,BCIs with AST per million population,Absolute BCIs with AST,% BCIs with AST,Year,Infectious Syndrome,Bacterial Pathogen,Antibiotic Group,code,region,income,che_gdp,gghed_gdp,gghed_gge
Ireland,116.8,582,116.8,582,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,IRL,EUR,High,7.109146599999998,5.54758024,20.28728294
Italy,180.6,10821,180.6,10821,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ITA,EUR,High,9.63,7.31,12.87
Japan,201.2,25413,201.2,25413,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,JPN,WPR,High,11.0,9.34,20.96
Jordan,15.5,168,13.7,149,88.7,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,JOR,EMR,Upper-middle,7.03820276,2.74805593,8.892486569999999
Kenya,0.1,4,0.1,4,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,KEN,AFR,Lower-middle,4.47622252,2.2097239500000008,8.91169834
Kosovo,8.0,14,8.0,14,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,,,,,,
Kuwait,14.1,62,14.1,62,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,KWT,EMR,High,6.347611429999999,5.670455930000001,8.524600979999999
Lao People's Democratic Republic,11.3,83,11.0,81,97.6,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LAO,WPR,Lower-middle,2.0596518499999994,0.7920737900000001,4.2616806
Latvia,169.4,322,169.4,322,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LVA,EUR,High,7.25,4.6,10.87
Lebanon,31.9,182,10.0,57,31.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LBN,EMR,Lower-middle,7.576508049999999,3.3664405299999998,17.217611310000002
Liberia,6.6,34,6.0,31,91.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LBR,AFR,Low,16.968326570000002,0.92961764,2.6484510899999996
Libya,1.8,13,1.4,10,76.9,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LBY,EMR,Upper-middle,,,
Lithuania,251.8,704,251.8,704,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LTU,EUR,High,7.48,5.14,12.06
Luxembourg,309.2,195,309.2,195,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LUX,EUR,High,5.74,5.02,10.72
Malawi,21.5,420,21.5,420,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MWI,AFR,Low,7.0088768,1.5622458500000003,6.873320099999999
Malaysia,204.4,6926,116.3,3941,56.9,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MYS,WPR,Upper-middle,4.083954329999999,2.1767413600000003,8.68648052
Mali,2.2,48,2.2,48,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MLI,AFR,Low,3.4759788499999997,1.3905919799999997,5.37126255
Malta,177.5,92,177.5,92,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MLT,EUR,High,10.74,7.16,15.63
Mauritius,243.9,313,243.9,313,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MUS,AFR,Upper-middle,6.48210192,3.3295488399999997,10.2022686
Mozambique,0.6,20,0.6,20,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MOZ,AFR,Low,7.56957626,2.3967418700000005,7.2900424
Myanmar,6.2,329,5.8,310,94.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MMR,SEAR,Lower-middle,4.62,0.7,3.23
Nepal,15.6,453,2.8,81,17.9,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,NPL,SEAR,Lower-middle,5.21,1.57,5.67
Netherlands (Kingdom of the),158.5,2796,158.5,2796,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,NLD,EUR,High,11.21,7.72,16.14
Nigeria,0.3,64,0.3,61,95.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,NGA,AFR,Lower-middle,3.38063431,0.50597858,4.188242440000001
North Macedonia,44.9,84,44.3,83,98.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MKD,EUR,Upper-middle,7.73,4.67,12.83
Norway,185.0,995,185.0,995,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,NOR,EUR,High,11.42,9.82,17.05
Oman,56.8,257,4.9,22,8.6,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,OMN,EMR,High,5.253320220000002,4.681920529999999,10.24410915
Pakistan,4.4,1031,0.8,177,17.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,PAK,EMR,Lower-middle,2.9527301800000005,1.0395474400000002,5.121827599999999
Peru,4.1,136,4.1,136,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,PER,AMR,Upper-middle,6.2852115600000005,4.32614946,16.10490227
Philippines,10.7,1194,10.3,1160,97.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,PHL,WPR,Lower-middle,5.16,2.33,9.0
Poland,31.4,1197,31.4,1197,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,POL,EUR,High,6.5,4.67,9.68
Qatar,73.5,206,73.5,206,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,QAT,EMR,High,3.8187220100000006,3.30993986,9.538887980000002
Republic of Korea,14.2,734,14.2,734,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,KOR,WPR,High,8.3497715,4.995855810000001,13.101437570000002
Republic of Moldova,2.9,9,2.9,9,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,MDA,EUR,Upper-middle,7.0,4.54,12.38
Russian Federation,2.2,317,2.1,305,96.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,RUS,EUR,Upper-middle,7.57,5.45,13.82
Saudi Arabia,21.4,662,21.2,658,99.4,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,SAU,EMR,High,6.64629889,5.2034235,13.31901741
Somalia,1.9,32,1.8,30,93.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,,,,,,
South Africa,102.0,6176,101.3,6135,99.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ZAF,AFR,Upper-middle,8.57258797,5.296747679999998,15.28983974
Sri Lanka,13.3,301,7.4,167,55.5,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,LKA,SEAR,Lower-middle,4.02,1.97,9.49
Sudan,0.2,11,0.1,4,36.4,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,SDN,EMR,Low,3.01518917,1.03047943,9.58832169
Sweden,1327.3,13742,1327.3,13742,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,SWE,EUR,High,11.33,9.77,18.76
Switzerland,268.8,2323,268.8,2323,100.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,CHE,EUR,High,11.73206806,4.212947849999999,10.95618057
Syrian Arab Republic,0.2,5,0.2,4,80.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,SYR,EMR,Low,,,
Thailand,13.6,975,9.5,680,69.7,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,THA,SEAR,Upper-middle,4.35728741,3.0659668399999997,11.933213230000002
Timor-Leste,13.6,18,10.6,14,77.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,TLS,SEAR,Lower-middle,9.96385956,5.5078587500000005,6.59020758
Tunisia,20.9,250,13.1,157,62.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,TUN,EMR,Lower-middle,7.050249580000001,4.31009293,12.49465275
Uganda,1.0,46,0.9,40,87.0,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,UGA,AFR,Low,4.30198574,0.94001567,4.395185470000001
Ukraine,2.0,88,1.9,83,94.3,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,UKR,EUR,Lower-middle,7.56,3.73,8.17
United Arab Emirates,75.1,710,58.7,555,78.2,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ARE,EMR,High,5.824770450000001,3.5522999799999995,11.41091824
United Kingdom of Great Britain and Northern Ireland,124.1,8356,22.9,1544,18.5,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,GBR,EUR,High,12.158634190000003,10.17722607,19.423175809999996
United Republic of Tanzania,4.4,269,4.0,241,89.6,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,TZA,AFR,Lower-middle,2.93978429,0.82863826,4.940001490000001
Yemen,0.2,9,0.2,7,77.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,YEM,EMR,Low,,,
Zambia,2.2,41,1.0,20,48.8,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,ZMB,AFR,Low,6.31619787,3.59903836,10.560054779999998
"occupied Palestinian territory, including east Jerusalem",151.3,767,146.4,742,96.7,2020,Bloodstream,Staphylococcus aureus,Methicillin-resistance,,,,,,
Afghanistan,0.7,28,0.7,28,100.0,2019,Urinary tract,Escherichia coli,3GCs,AFG,EMR,Low,14.831319809999997,0.49705607,1.7752600899999997
Argentina,701.9,31567,505.5,22735,72.0,2019,Urinary tract,Escherichia coli,3GCs,ARG,AMR,Upper-middle,10.04194355,6.082253929999999,16.132158280000006
Bahrain,2328.2,3459,2238.0,3325,96.1,2019,Urinary tract,Escherichia coli,3GCs,BHR,EMR,High,3.9598033399999997,2.30751538,7.06051159
Bangladesh,2.4,394,2.3,372,94.4,2019,Urinary tract,Escherichia coli,3GCs,BGD,SEAR,Lower-middle,2.2576224799999998,0.4467977899999999,3.29686975
Brazil,16.5,3429,16.2,3356,97.9,2019,Urinary tract,Escherichia coli,3GCs,BRA,AMR,Upper-middle,9.61449146,3.917018889999999,9.235238079999998
Canada,427.2,16141,427.2,16141,100.0,2019,Urinary tract,Escherichia coli,3GCs,CAN,AMR,High,11.00887775,7.6523394599999985,18.852935789999997
Egypt,0.4,40,0.3,28,70.0,2019,Urinary tract,Escherichia coli,3GCs,EGY,EMR,Lower-middle,4.5994668,1.29722774,4.822846889999999
Ethiopia,2.9,332,2.1,248,74.7,2019,Urinary tract,Escherichia coli,3GCs,ETH,AFR,Low,3.2338237800000003,0.73088509,4.76060486
Finland,26023.0,143693,8572.8,47337,32.9,2019,Urinary tract,Escherichia coli,3GCs,FIN,EUR,High,9.17,7.35,13.79
Germany,4281.0,357718,3788.7,316582,88.5,2019,Urinary tract,Escherichia coli,3GCs,DEU,EUR,High,11.71550655,9.04012394,20.093276980000002
Greece,1973.0,21148,1900.3,20368,96.3,2019,Urinary tract,Escherichia coli,3GCs,GRC,EUR,High,8.198112490000002,3.99746466,8.30376339
India,27.2,37828,21.8,30284,80.1,2019,Urinary tract,Escherichia coli,3GCs,IND,SEAR,Lower-middle,2.95,1.04,3.85
Indonesia,8.9,2421,8.0,2184,90.2,2019,Urinary tract,Escherichia coli,3GCs,IDN,SEAR,Lower-middle,2.8786289700000003,1.39791656,8.557231900000001
Iran (Islamic Republic of),62.0,5400,57.3,4992,92.4,2019,Urinary tract,Escherichia coli,3GCs,IRN,EMR,Lower-middle,6.273988720000001,2.7899677800000005,19.73072052
Iraq,18.5,762,14.1,580,76.1,2019,Urinary tract,Escherichia coli,3GCs,IRQ,EMR,Upper-middle,4.255094049999999,2.10075927,5.994596
Japan,2966.2,375822,2884.6,365478,97.2,2019,Urinary tract,Escherichia coli,3GCs,JPN,WPR,High,10.97,9.21,24.7
Jordan,413.2,4410,385.5,4114,93.3,2019,Urinary tract,Escherichia coli,3GCs,JOR,EMR,Upper-middle,6.995182509999998,3.00427818,10.1121769
Lao People's Democratic Republic,21.6,156,16.4,119,76.3,2019,Urinary tract,Escherichia coli,3GCs,LAO,WPR,Lower-middle,2.6031222300000003,0.9614232800000002,5.12380648
Latvia,638.9,1223,638.9,1223,100.0,2019,Urinary tract,Escherichia coli,3GCs,LVA,EUR,High,6.61,3.96,10.35
Lebanon,191.2,1108,191.0,1107,99.9,2019,Urinary tract,Escherichia coli,3GCs,LBN,EMR,Lower-middle,8.6936779,4.285372259999999,13.746777530000003
Libya,19.1,133,19.1,133,100.0,2019,Urinary tract,Escherichia coli,3GCs,LBY,EMR,Upper-middle,,,
Lithuania,368.5,1030,38.3,107,10.4,2019,Urinary tract,Escherichia coli,3GCs,LTU,EUR,High,6.99,4.55,13.1
Madagascar,67.6,1908,65.1,1838,96.3,2019,Urinary tract,Escherichia coli,3GCs,MDG,AFR,Low,3.1012930900000004,0.6826895500000001,4.44415092
Malawi,26.3,501,26.3,501,100.0,2019,Urinary tract,Escherichia coli,3GCs,MWI,AFR,Low,7.15010023,1.67412877,8.66773891
Malaysia,415.1,13880,384.9,12872,92.7,2019,Urinary tract,Escherichia coli,3GCs,MYS,WPR,Upper-middle,3.83991051,2.00959897,8.523682590000002
Mali,4.7,100,4.7,98,98.0,2019,Urinary tract,Escherichia coli,3GCs,MLI,AFR,Low,3.82943797,1.1192745,4.835014339999999
Malta,7283.5,3671,7275.6,3667,99.9,2019,Urinary tract,Escherichia coli,3GCs,MLT,EUR,High,9.15,5.72,15.91
Morocco,0.6,22,0.6,22,100.0,2019,Urinary tract,Escherichia coli,3GCs,MAR,EMR,Lower-middle,4.99129868,2.02342105,7.394980909999998
Myanmar,28.3,1489,25.6,1349,90.6,2019,Urinary tract,Escherichia coli,3GCs,MMR,SEAR,Lower-middle,4.71,0.66,3.28
Nepal,305.9,8693,271.3,7710,88.7,2019,Urinary tract,Escherichia coli,3GCs,NPL,SEAR,Lower-middle,4.45,1.1,4.03
Norway,280.7,1501,280.7,1501,100.0,2019,Urinary tract,Escherichia coli,3GCs,NOR,EUR,High,10.44,8.95,17.52
Oman,1554.5,7137,1129.1,5184,72.6,2019,Urinary tract,Escherichia coli,3GCs,OMN,EMR,High,3.80648994,3.3325254899999996,8.593752859999999
Pakistan,56.8,13103,51.4,11863,90.5,2019,Urinary tract,Escherichia coli,3GCs,PAK,EMR,Lower-middle,2.8473694299999996,0.9430124800000002,4.94922209
Philippines,58.8,6518,53.6,5934,91.0,2019,Urinary tract,Escherichia coli,3GCs,PHL,WPR,Lower-middle,4.17,1.69,7.8
Republic of Korea,140.4,7270,140.4,7270,100.0,2019,Urinary tract,Escherichia coli,3GCs,KOR,WPR,High,8.17479515,4.73187208,13.970218659999997
Saudi Arabia,128.0,3900,113.9,3471,89.0,2019,Urinary tract,Escherichia coli,3GCs,SAU,EMR,High,5.467426779999999,4.03419256,11.97922897
Singapore,701.3,3976,699.9,3968,99.8,2019,Urinary tract,Escherichia coli,3GCs,SGP,WPR,High,4.39938164,2.2749128300000003,16.248302459999998
Sri Lanka,157.9,3538,88.0,1973,55.8,2019,Urinary tract,Escherichia coli,3GCs,LKA,SEAR,Lower-middle,3.9,1.85,9.49
Sudan,0.8,37,0.8,37,100.0,2019,Urinary tract,Escherichia coli,3GCs,SDN,EMR,Low,4.574226380000001,1.03844607,5.56284285
Sweden,20194.2,207579,4989.9,51292,24.7,2019,Urinary tract,Escherichia coli,3GCs,SWE,EUR,High,10.83,9.22,18.77
